Attaching to:  10.11.32.219:4242
Server started! Waiting for streams from client...
session created:  10.51.0.77:59013
stream created:  3
Start forwarding? [write any letter]
Connected to mquic, connecting to Websocket.
2024-10-31 11:13:51,602 - INFO - SEQ - 1
2024-10-31 11:13:51,633 - INFO - SEQ - 2
2024-10-31 11:13:51,663 - INFO - SEQ - 3
2024-10-31 11:13:51,693 - INFO - SEQ - 4
2024-10-31 11:13:51,723 - INFO - SEQ - 5
2024-10-31 11:13:51,753 - INFO - SEQ - 6
2024-10-31 11:13:51,766 - INFO - SEQ - 7
2024-10-31 11:13:51,783 - INFO - SEQ - 8
2024-10-31 11:13:51,813 - INFO - SEQ - 9
2024-10-31 11:13:51,843 - INFO - SEQ - 10
2024-10-31 11:13:51,874 - INFO - SEQ - 11
2024-10-31 11:13:51,904 - INFO - SEQ - 12
2024-10-31 11:13:51,933 - INFO - SEQ - 13
2024-10-31 11:13:51,963 - INFO - SEQ - 14
2024-10-31 11:13:51,994 - INFO - SEQ - 15
2024-10-31 11:13:52,023 - INFO - SEQ - 16
2024-10-31 11:13:52,054 - INFO - SEQ - 17
2024-10-31 11:13:52,084 - INFO - SEQ - 18
2024-10-31 11:13:52,115 - INFO - SEQ - 19
2024-10-31 11:13:52,145 - INFO - SEQ - 20
2024-10-31 11:13:52,174 - INFO - SEQ - 21
2024-10-31 11:13:52,205 - INFO - SEQ - 22
2024-10-31 11:13:52,234 - INFO - SEQ - 23
2024-10-31 11:13:52,265 - INFO - SEQ - 24
2024-10-31 11:13:52,295 - INFO - SEQ - 25
2024-10-31 11:13:52,325 - INFO - SEQ - 26
2024-10-31 11:13:52,355 - INFO - SEQ - 27
2024-10-31 11:13:52,385 - INFO - SEQ - 28
2024-10-31 11:13:52,415 - INFO - SEQ - 29
2024-10-31 11:13:52,445 - INFO - SEQ - 30
2024-10-31 11:13:52,475 - INFO - SEQ - 31
2024-10-31 11:13:52,505 - INFO - SEQ - 32
2024-10-31 11:13:52,535 - INFO - SEQ - 33
2024-10-31 11:13:52,566 - INFO - SEQ - 34
2024-10-31 11:13:52,596 - INFO - SEQ - 35
2024-10-31 11:13:52,626 - INFO - SEQ - 36
2024-10-31 11:13:52,656 - INFO - SEQ - 37
2024-10-31 11:13:52,687 - INFO - SEQ - 38
2024-10-31 11:13:52,716 - INFO - SEQ - 39
2024-10-31 11:13:52,746 - INFO - SEQ - 40
2024-10-31 11:13:52,766 - INFO - SEQ - 41
2024-10-31 11:13:52,777 - INFO - SEQ - 42
2024-10-31 11:13:52,807 - INFO - SEQ - 43
2024-10-31 11:13:52,836 - INFO - SEQ - 44
2024-10-31 11:13:52,867 - INFO - SEQ - 45
2024-10-31 11:13:52,897 - INFO - SEQ - 46
2024-10-31 11:13:52,927 - INFO - SEQ - 47
2024-10-31 11:13:52,957 - INFO - SEQ - 48
2024-10-31 11:13:52,988 - INFO - SEQ - 49
2024-10-31 11:13:53,018 - INFO - SEQ - 50
2024-10-31 11:13:53,047 - INFO - SEQ - 51
2024-10-31 11:13:53,078 - INFO - SEQ - 52
2024-10-31 11:13:53,108 - INFO - SEQ - 53
2024-10-31 11:13:53,138 - INFO - SEQ - 54
2024-10-31 11:13:53,167 - INFO - SEQ - 55
2024-10-31 11:13:53,198 - INFO - SEQ - 56
2024-10-31 11:13:53,228 - INFO - SEQ - 57
2024-10-31 11:13:53,258 - INFO - SEQ - 58
2024-10-31 11:13:53,289 - INFO - SEQ - 59
2024-10-31 11:13:53,319 - INFO - SEQ - 60
2024-10-31 11:13:53,348 - INFO - SEQ - 61
2024-10-31 11:13:53,379 - INFO - SEQ - 62
2024-10-31 11:13:53,409 - INFO - SEQ - 63
2024-10-31 11:13:53,439 - INFO - SEQ - 64
2024-10-31 11:13:53,469 - INFO - SEQ - 65
2024-10-31 11:13:53,499 - INFO - SEQ - 66
2024-10-31 11:13:53,530 - INFO - SEQ - 67
2024-10-31 11:13:53,559 - INFO - SEQ - 68
2024-10-31 11:13:53,590 - INFO - SEQ - 69
